admin_old_district_code,admin_old_district_name,admin_old_block_mandal_code,admin_old_block_mandal_name,sample_farms,labelled_farms,unknown_health_farms,healthy_farms,stressed_farms,diseased_farms,pest_farms,unhealthy_farms,avg_health_risk_score,avg_crop_height,avg_water_coverage,avg_irrigation_count,avg_expected_yield,avg_field_area_ha,total_sample_area_ha,unhealthy_pct_of_labelled,label_coverage_pct
01,ADILABAD,0121,NIRMAL,30,6,24,3,0,3,0,3,0.4,118.3,74.6667,3.8333,19.6667,0.1839,5.5182,50.0,20.0
01,ADILABAD,0122,LAXMANCHANDA,63,63,0,52,3,3,5,11,0.1333,165.5397,53.0,3.8571,22.6349,0.3266,20.5771,17.46031746031746,100.0
01,ADILABAD,0123,MAMDA,72,51,21,44,3,2,2,7,0.0961,156.3333,51.6944,3.4861,21.9167,0.3236,23.297,13.725490196078432,70.83
01,ADILABAD,0124,KHANAPUR,1,1,0,0,0,0,1,1,0.9,116.0,45.0,3.0,13.0,0.3442,0.3442,100.0,100.0
01,ADILABAD,0126,UTNOOR,512,511,1,419,27,28,37,92,0.1354,95.6406,48.8281,3.6055,13.9141,0.5627,288.0887,18.003913894324853,99.8
01,ADILABAD,0127,JAINOOR,2,0,2,0,0,0,0,0,,113.5,48.5,2.0,12.5,0.859,1.718,,0.0
01,ADILABAD,0128,KERAMERI,1,0,1,0,0,0,0,0,,91.0,54.0,6.0,13.0,0.2418,0.2418,,0.0
02,NIZAMABAD,0235,BHIKNOOR,4,4,0,4,0,0,0,0,0.0,122.25,72.0,4.5,25.5,0.2266,0.9063,0.0,100.0
02,NIZAMABAD,0236,DOMAKONDA,2,0,2,0,0,0,0,0,,124.0,56.0,5.0,17.5,0.4093,0.8186,,0.0
04,MEDAK,0406,SHANKARAMPET[A],94,91,3,80,4,3,4,11,0.0879,91.8298,49.2553,4.1277,12.5319,0.1605,15.0883,12.087912087912088,96.81
04,MEDAK,0407,ALLADURG,60,50,10,38,3,6,3,12,0.18,89.35,50.3333,4.1,12.3667,0.2673,16.0397,24.0,83.33
04,MEDAK,0408,TEKMAL,85,2,83,1,0,1,0,1,0.4,87.6235,55.2824,4.0118,13.1176,0.2483,21.1095,50.0,2.35
04,MEDAK,0409,PAPANNAPET,19,0,19,0,0,0,0,0,,74.9474,67.7368,3.8947,13.8947,0.2695,5.1213,,0.0
04,MEDAK,0410,KULCHARAM,32,32,0,26,1,4,1,6,0.1438,65.875,88.375,4.6562,16.875,0.0842,2.6929,18.75,100.0
04,MEDAK,0411,MEDAK,371,371,0,313,18,17,23,58,0.1167,76.2426,88.3019,4.3935,17.6927,0.2191,81.2744,15.633423180592992,100.0
04,MEDAK,0412,SHANKARAMPET (R),122,122,0,100,9,4,9,22,0.1295,80.7131,81.0984,4.123,18.6066,0.1699,20.7299,18.0327868852459,100.0
04,MEDAK,0413,RAMAYAMPET,693,246,447,203,10,15,18,43,0.135,102.9942,74.746,4.1212,20.1154,0.2049,142.0274,17.479674796747968,35.5
04,MEDAK,0414,DUBBAK,8,7,1,7,0,0,0,0,0.0,101.375,55.375,3.625,18.5,0.2419,1.9352,0.0,87.5
04,MEDAK,0415,MIRDODDI,1,0,1,0,0,0,0,0,,53.0,98.0,6.0,18.0,0.0423,0.0423,,0.0
04,MEDAK,0422,DOULTABAD,1,1,0,1,0,0,0,0,0.0,86.0,94.0,6.0,16.0,0.0506,0.0506,0.0,100.0
04,MEDAK,0423,CHEGUNTA,218,204,14,169,7,11,17,35,0.1353,85.6881,75.3257,4.3165,16.7982,0.2489,54.2611,17.15686274509804,93.58
04,MEDAK,0424,YELDURTHY,8,8,0,7,0,1,0,1,0.1,75.5,71.25,4.5,14.0,0.1928,1.5423,12.5,100.0
04,MEDAK,0425,KOWDIPALLE,66,66,0,54,4,4,4,12,0.1333,72.8939,89.0,4.4697,17.0909,0.0504,3.326,18.181818181818183,100.0
04,MEDAK,0441,NARSAPUR,1,1,0,1,0,0,0,0,0.0,83.0,81.0,4.0,15.0,0.1213,0.1213,0.0,100.0
04,MEDAK,0442,SHIVAMPET,17,17,0,15,1,0,1,2,0.0824,71.8235,88.8235,4.0588,17.0588,0.0575,0.9779,11.76470588235294,100.0
04,MEDAK,0443,TUPRAN,11,7,4,6,1,0,0,1,0.0714,93.9091,57.8182,4.7273,13.0909,0.1939,2.1333,14.285714285714285,63.64
04,MEDAK,0445,MULUG,1,1,0,1,0,0,0,0,0.0,97.0,60.0,4.0,13.0,0.2529,0.2529,0.0,100.0
05,RANGAREDDY,0526,DOMA,4,4,0,4,0,0,0,0,0.0,30.0,38.0,3.0,13.0,0.2321,0.9284,0.0,100.0
05,RANGAREDDY,0527,GANDEED,218,48,170,44,0,3,1,4,0.0687,35.5275,36.844,2.7523,12.5275,0.1858,40.4959,8.333333333333332,22.02
07,MAHABUBNAGAR,0703,KOSGI,29,13,16,9,1,1,2,4,0.2385,50.5172,39.6207,2.7586,13.0,0.6417,18.6098,30.76923076923077,44.83
07,MAHABUBNAGAR,0705,DAMARAGIDDA,136,135,1,110,10,8,7,25,0.1311,48.6103,44.6176,3.0515,13.0441,0.5169,70.2987,18.51851851851852,99.26
07,MAHABUBNAGAR,0706,MADDUR,166,42,124,31,2,3,6,11,0.2095,50.3253,42.1807,2.7289,12.3795,0.4241,70.4055,26.190476190476193,25.3
07,MAHABUBNAGAR,0707,KOILKONDA,153,152,1,131,5,7,9,21,0.1066,37.6209,36.7451,2.6405,12.3399,0.3076,47.0613,13.815789473684212,99.35
07,MAHABUBNAGAR,0708,HANWADA,283,283,0,245,14,11,13,38,0.0972,54.788,55.7208,3.4205,14.2367,0.2434,68.8952,13.427561837455832,100.0
07,MAHABUBNAGAR,0709,NAWABPET,14,14,0,11,2,0,1,3,0.1357,74.7857,85.2143,4.2143,17.7857,0.1731,2.424,21.428571428571427,100.0
07,MAHABUBNAGAR,0710,BALANAGAR,20,16,4,14,1,1,0,2,0.0812,50.35,42.6,2.5,12.95,0.917,18.3398,12.5,80.0
07,MAHABUBNAGAR,0719,VELDANDA,9,9,0,7,0,2,0,2,0.1778,72.7778,47.7778,4.1111,12.3333,0.7224,6.5017,22.22222222222222,100.0
07,MAHABUBNAGAR,0720,KALWAKURTHY,6,6,0,3,0,0,3,3,0.45,31.1667,34.1667,2.6667,12.8333,0.8943,5.366,50.0,100.0
07,MAHABUBNAGAR,0721,MIDJIL,66,66,0,57,2,6,1,9,0.1015,47.5758,43.8182,2.7727,13.3939,0.7315,48.282,13.636363636363635,100.0
07,MAHABUBNAGAR,0722,THIMMAJIPET,3,1,2,1,0,0,0,0,0.0,72.6667,63.0,5.0,14.6667,0.8042,2.4127,0.0,33.33
07,MAHABUBNAGAR,0723,JADCHERLA,44,9,35,9,0,0,0,0,0.0,72.0,46.5,3.2727,13.7955,0.7139,31.411,0.0,20.45
07,MAHABUBNAGAR,0724,BHOOTHPUR,21,21,0,16,1,1,3,5,0.1905,57.381,65.7619,3.5714,15.2381,0.375,7.8756,23.809523809523807,100.0
07,MAHABUBNAGAR,0725,MAHBUBNAGAR,21,21,0,15,4,1,1,6,0.1762,67.4762,86.1905,4.381,17.0952,0.2715,5.7024,28.57142857142857,100.0
07,MAHABUBNAGAR,0726,ADDAKAL,10,0,10,0,0,0,0,0,,40.8,54.1,3.0,13.9,0.3349,3.3491,,0.0
07,MAHABUBNAGAR,0727,DEVARKADRA,23,23,0,19,0,1,3,4,0.1522,83.6957,45.3913,3.5217,12.6522,1.3364,30.7383,17.391304347826086,100.0
07,MAHABUBNAGAR,0728,DHANWADA,5,5,0,5,0,0,0,0,0.0,27.8,38.4,3.4,11.8,0.2973,1.4866,0.0,100.0
07,MAHABUBNAGAR,0729,NARAYANPET,21,18,3,16,0,2,0,2,0.0889,64.5714,51.4286,3.2857,12.4762,0.7466,15.6795,11.11111111111111,85.71
07,MAHABUBNAGAR,0734,CHINNACHINTAKUNTA,22,22,0,18,1,0,3,4,0.1455,36.5909,34.8636,2.7727,12.5455,1.0815,23.7922,18.181818181818183,100.0
07,MAHABUBNAGAR,0735,ATMAKUR,7,7,0,6,0,0,1,1,0.1286,30.2857,39.1429,2.8571,13.1429,1.0787,7.5507,14.285714285714285,100.0
07,MAHABUBNAGAR,0741,TADOOR,7,7,0,6,1,0,0,1,0.0714,28.4286,37.0,2.2857,14.2857,0.2486,1.7404,14.285714285714285,100.0
08,NALGONDA,0812,SALI GOURARAM,120,120,0,95,7,10,8,25,0.1558,79.8083,70.2417,4.2333,14.95,0.3141,37.6863,20.833333333333336,100.0
08,NALGONDA,0820,RAMANNAPETA,5,5,0,4,1,0,0,1,0.1,86.6,60.8,4.8,14.4,0.4022,2.0108,20.0,100.0
08,NALGONDA,0821,CHITYALA,98,98,0,81,1,15,1,17,0.1367,75.3163,87.2143,4.051,16.7347,0.2068,20.2652,17.346938775510203,100.0
08,NALGONDA,0822,NARKETPALLE,69,69,0,52,3,7,7,17,0.1942,77.6087,81.8261,4.5072,16.5217,0.3178,21.9259,24.637681159420293,100.0
08,NALGONDA,0823,KATTANGOOR,74,72,2,56,3,9,4,16,0.1708,79.2568,82.0811,4.2703,16.4189,0.3511,25.9822,22.22222222222222,97.3
08,NALGONDA,0824,NAKREKAL,48,7,41,6,0,1,0,1,0.1143,80.5833,72.0625,3.8958,15.75,0.3781,18.1506,14.285714285714285,14.58
08,NALGONDA,0825,KETHEPALLE,136,0,136,0,0,0,0,0,,76.3382,88.0956,4.1838,16.8382,0.1548,21.0474,,0.0
08,NALGONDA,0832,VEMULAPALLE,49,49,0,39,0,8,2,10,0.1673,73.551,88.6735,4.1429,17.1837,0.1435,7.0339,20.408163265306122,100.0
08,NALGONDA,0833,THIPPARTHI,166,165,1,142,6,17,0,23,0.1006,74.494,86.7952,4.3072,17.247,0.2681,44.4988,13.939393939393941,99.4
08,NALGONDA,0834,NALGONDA,83,83,0,73,2,6,2,10,0.0916,75.0361,82.9759,4.3976,16.747,0.2997,24.8744,12.048192771084338,100.0
08,NALGONDA,0835,MUNUGODE,117,8,109,7,0,1,0,1,0.1,89.1111,57.5641,4.0,13.7863,0.5559,65.0413,12.5,6.84
08,NALGONDA,0836,NARAYANAPUR,1,0,1,0,0,0,0,0,,63.0,54.0,4.0,12.0,0.0524,0.0524,,0.0
08,NALGONDA,0837,MARRIGUDA,25,12,13,7,0,2,3,5,0.3583,93.56,50.96,4.0,12.68,0.461,11.5261,41.66666666666667,48.0
08,NALGONDA,0838,CHANDUR,34,33,1,29,0,2,2,4,0.103,93.0882,52.2059,3.7353,12.8824,0.6511,22.138,12.121212121212121,97.06
08,NALGONDA,0839,KANGAL,62,62,0,56,0,2,4,6,0.0839,80.4839,84.7097,4.6613,17.6129,0.3437,21.3079,9.67741935483871,100.0
08,NALGONDA,0840,NIDAMANUR,44,44,0,38,0,4,2,6,0.1136,77.8182,78.0227,4.0682,15.9773,0.1893,8.3313,13.636363636363635,100.0
08,NALGONDA,0841,THRIPURARAM,65,65,0,53,0,12,0,12,0.1477,74.4923,90.5538,4.0615,17.1231,0.1443,9.3775,18.461538461538463,100.0
08,NALGONDA,0842,MIRYALAGUDA,74,74,0,59,0,15,0,15,0.1622,74.0,90.3243,4.0,17.0,0.1099,8.1295,20.27027027027027,100.0
08,NALGONDA,0849,NEREDCHERLA,5,5,0,5,0,0,0,0,0.0,74.0,86.2,4.0,17.0,0.0895,0.4475,0.0,100.0
08,NALGONDA,0850,DAMERACHERLA,36,29,7,25,0,4,0,4,0.1103,67.0833,82.6667,3.6667,16.1667,0.1482,5.3347,13.793103448275861,80.56
08,NALGONDA,0851,ANUMULA,105,105,0,84,5,7,9,21,0.1543,41.4,41.2286,2.8571,13.1619,0.5804,60.9441,20.0,100.0
08,NALGONDA,0852,PEDDAVOORA,139,137,2,110,10,5,12,27,0.1445,42.7554,41.4101,2.9784,12.6763,0.5832,81.0586,19.708029197080293,98.56
08,NALGONDA,0853,PEDDA ADISERLA PALLE,31,31,0,26,2,1,2,5,0.1161,78.2903,72.2903,4.1613,15.5484,0.2789,8.6455,16.129032258064516,100.0
08,NALGONDA,0854,GURRAMPODE,53,51,2,43,3,2,3,8,0.1137,89.7358,54.0943,3.9811,12.8113,0.5026,26.6385,15.686274509803921,96.23
08,NALGONDA,0855,NAMPALLE,43,0,43,0,0,0,0,0,,92.907,53.5814,4.3256,13.0465,0.511,21.9737,,0.0
08,NALGONDA,0856,CHINTHA PALLE,30,28,2,24,1,0,3,4,0.1143,87.6,54.2,4.4,13.5667,0.4473,13.419,14.285714285714285,93.33
08,NALGONDA,0857,DEVARAKONDA,28,28,0,25,0,1,2,3,0.0929,80.2143,67.1071,4.25,15.25,0.2052,5.7455,10.714285714285714,100.0
08,NALGONDA,0858,GUNDLA PALLE,37,1,36,1,0,0,0,0,0.0,84.4054,61.5135,4.3784,13.7027,0.143,5.291,0.0,2.7
08,NALGONDA,0859,CHANDAM PET,9,5,4,4,0,0,1,1,0.18,80.3333,49.6667,3.6667,12.3333,0.4159,3.7435,20.0,55.56
09,WARANGAL,0918,THORRUR,87,87,0,76,3,3,5,11,0.0966,153.023,51.7586,3.8621,24.1264,0.1418,12.3363,12.643678160919542,100.0
09,WARANGAL,0919,NELLIKUDUR,65,54,11,44,6,3,1,10,0.1167,77.0769,65.9231,4.0154,14.4615,0.2765,17.9722,18.51851851851852,83.08
09,WARANGAL,0920,NARSIMHULAPET,6,5,1,5,0,0,0,0,0.0,68.3333,75.8333,4.3333,14.3333,0.1284,0.7702,0.0,83.33
09,WARANGAL,0921,MARIPEDA,104,86,18,71,6,5,4,15,0.1233,76.5192,89.2308,4.3365,22.4808,0.1019,10.5998,17.441860465116278,82.69
09,WARANGAL,0922,DORNAKAL,59,59,0,43,5,3,8,16,0.2051,75.3898,50.339,3.6102,7.5763,0.0886,5.2249,27.11864406779661,100.0
09,WARANGAL,0923,KURAVI,267,263,4,215,19,13,16,48,0.1304,76.0824,53.0861,3.5243,9.1124,0.4175,111.4763,18.250950570342205,98.5
09,WARANGAL,0924,MAHABUBABAD,342,9,333,6,1,0,2,3,0.2556,82.0936,53.1813,3.5673,10.8304,0.4257,145.5837,33.33333333333333,2.63
09,WARANGAL,0925,KESAMUDRAM,164,28,136,25,0,2,1,3,0.0893,87.2317,64.9207,3.9634,16.1524,0.313,51.3382,10.714285714285714,17.07
09,WARANGAL,0926,NEKKONDA,10,7,3,4,2,0,1,3,0.2714,74.3,56.4,3.9,10.4,0.2654,2.6544,42.857142857142854,70.0
09,WARANGAL,0927,GUDUR,272,263,9,216,15,14,18,47,0.1327,78.2206,66.6691,3.9265,15.3529,0.3752,102.0425,17.870722433460077,96.69
09,WARANGAL,0928,KOTHAGUDEM,183,183,0,161,6,6,10,22,0.0918,161.0546,50.7486,3.6284,25.6831,0.229,41.9097,12.021857923497267,100.0
09,WARANGAL,0929,KHANAPUR,4,4,0,3,1,0,0,1,0.125,74.0,58.0,3.25,12.0,0.2182,0.8729,25.0,100.0
09,WARANGAL,0931,CHENNARAOPET,8,8,0,6,0,1,1,2,0.2125,80.0,52.375,3.5,8.75,0.2647,2.1173,25.0,100.0
09,WARANGAL,0932,PARVATHAGIRI,2,1,1,1,0,0,0,0,0.0,130.5,72.0,3.5,26.0,0.0722,0.1444,0.0,50.0
10,KHAMMAM,1021,BAYYARAM,205,205,0,172,10,10,13,33,0.1205,136.2293,58.8878,3.8146,22.9366,0.1176,24.1123,16.097560975609756,100.0
10,KHAMMAM,1022,GARLA,72,72,0,62,3,1,6,10,0.1069,75.2778,52.1806,3.6667,7.3194,0.3629,26.13,13.88888888888889,100.0
10,KHAMMAM,1037,KHAMMAM (RURAL),2,2,0,2,0,0,0,0,0.0,92.0,44.0,3.5,9.0,0.0652,0.1305,0.0,100.0
