admin_old_district_name,admin_old_block_mandal_name,admin_village_code,admin_village_name,crop,health_category,sample_farms,labelled_farms,unknown_health_farms,healthy_farms,stressed_farms,diseased_farms,pest_farms,unhealthy_farms,avg_health_risk_score,avg_crop_height,avg_water_coverage,avg_irrigation_count,avg_expected_yield,avg_field_area_ha,total_sample_area_ha,unhealthy_pct_of_labelled,label_coverage_pct
ADILABAD,ADILABAD,0103018,Anukunta,Cotton,Diseased,1,1,0,0,0,1,0,1,0.8,116.0,58.0,4.0,12.0,0.5805,0.5805,100.0,100.0
ADILABAD,ADILABAD,0103018,Anukunta,Red Gram,Pests,1,1,0,0,0,0,1,1,0.9,88.0,39.0,2.0,10.0,2.0067,2.0067,100.0,100.0
ADILABAD,ADILABAD,0103018,Anukunta,Red Gram,Stressed,1,1,0,0,1,0,0,1,0.5,109.0,33.0,3.0,12.0,1.1142,1.1142,100.0,100.0
ADILABAD,ADILABAD,0103020,Kumbhajheri,Cotton,,3,0,3,0,0,0,0,0,,87.3333,46.0,3.3333,14.0,0.6789,2.0366,,0.0
ADILABAD,ADILABAD,0103020,Kumbhajheri,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,78.0,58.0,3.0,11.0,0.8887,0.8887,0.0,100.0
ADILABAD,ADILABAD,0103023,Kachkanti,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,83.0,41.0,6.0,15.0,0.5217,0.5217,0.0,100.0
ADILABAD,ADILABAD,0103023,Kachkanti,Red Gram,,1,0,1,0,0,0,0,0,,36.0,36.0,2.0,8.0,0.334,0.334,,0.0
ADILABAD,ADILABAD,0103024,Tontoli,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,85.0,42.0,5.0,13.0,1.0711,1.0711,0.0,100.0
ADILABAD,ADILABAD,0103024,Tontoli,Red Gram,Healthy,1,1,0,1,0,0,0,0,0.0,94.0,37.0,1.0,11.0,0.8553,0.8553,0.0,100.0
ADILABAD,ADILABAD,0103025,Mavala,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,86.0,50.0,2.5,17.5,1.0977,2.1953,0.0,100.0
ADILABAD,ADILABAD,0103026,Ankoli,Paddy,Healthy,1,1,0,1,0,0,0,0,0.0,71.0,89.0,3.0,24.0,1.4939,1.4939,0.0,100.0
ADILABAD,ADILABAD,0103026,Ankoli,Red Gram,Healthy,2,2,0,2,0,0,0,0,0.0,69.5,47.5,2.0,9.5,1.3175,2.6349,0.0,100.0
ADILABAD,ADILABAD,0103027,Maleborgaon,Cotton,Pests,1,1,0,0,0,0,1,1,0.9,103.0,43.0,5.0,10.0,0.4037,0.4037,100.0,100.0
ADILABAD,ADILABAD,0103030,Ankapoor,Red Gram,Healthy,2,2,0,2,0,0,0,0,0.0,79.0,33.5,3.0,10.5,0.4064,0.8128,0.0,100.0
ADILABAD,ADILABAD,0103030,Ankapoor,Red Gram,Stressed,1,1,0,0,1,0,0,1,0.5,101.0,37.0,1.0,12.0,0.4574,0.4574,100.0,100.0
ADILABAD,ADILABAD,0103032,Lokari,Cotton,Stressed,1,1,0,0,1,0,0,1,0.5,80.0,43.0,4.0,13.0,0.3916,0.3916,100.0,100.0
ADILABAD,ADILABAD,0103033,Kottur (Nevegaon),Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,73.0,55.0,5.0,15.0,1.4906,1.4906,0.0,100.0
ADILABAD,ADILABAD,0103034,Borenur,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,114.0,60.0,6.0,15.0,1.0135,1.0135,0.0,100.0
ADILABAD,ADILABAD,0103037,Belluri,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,83.0,46.0,5.0,11.0,1.2606,1.2606,0.0,100.0
ADILABAD,ADILABAD,0103039,Khandala,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,101.0,55.0,5.0,15.0,0.3447,0.3447,0.0,100.0
ADILABAD,ADILABAD,0103F01,FOREST,Cotton,Diseased,1,1,0,0,0,1,0,1,0.8,84.0,46.0,6.0,13.0,1.8007,1.8007,100.0,100.0
ADILABAD,ADILABAD,0103F01,FOREST,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,88.0,53.5,3.5,15.5,0.5439,1.0879,0.0,100.0
ADILABAD,ADILABAD,0103F02,FOREST,Cotton,Diseased,1,1,0,0,0,1,0,1,0.8,80.0,48.0,5.0,12.0,0.298,0.298,100.0,100.0
ADILABAD,ADILABAD,0103F02,FOREST,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,79.0,48.0,4.0,14.0,0.5123,0.5123,0.0,100.0
ADILABAD,ADILABAD,0103F02,FOREST,Red Gram,Healthy,2,2,0,2,0,0,0,0,0.0,71.0,43.5,2.5,9.5,0.8948,1.7895,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110002,Girjai,Bengal Gram,Diseased,1,1,0,0,0,1,0,1,0.8,38.0,21.0,3.0,10.0,0.0404,0.0404,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110002,Girjai,Maize,Healthy,8,8,0,8,0,0,0,0,0.0,148.625,50.75,4.125,22.5,0.2089,1.6711,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110008,Yesapur,Bengal Gram,Pests,1,1,0,0,0,0,1,1,0.9,38.0,32.0,3.0,12.0,0.1076,0.1076,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110009,Gokonda,Bengal Gram,Healthy,3,3,0,3,0,0,0,0,0.0,44.0,31.3333,1.3333,10.3333,0.2082,0.6246,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110009,Gokonda,Bengal Gram,Pests,1,1,0,0,0,0,1,1,0.9,48.0,38.0,3.0,11.0,0.4914,0.4914,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110010,Dhabadi,Maize,Healthy,4,4,0,4,0,0,0,0,0.0,170.5,49.25,3.25,21.25,0.0748,0.2991,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110010,Dhabadi,Maize,Stressed,1,1,0,0,1,0,0,1,0.5,128.0,47.0,3.0,23.0,0.1591,0.1591,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110011,Bhutai (Khurd),Maize,Healthy,10,10,0,10,0,0,0,0,0.0,180.1,51.4,3.1,22.1,0.3169,3.1692,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110011,Bhutai (Khurd),Maize,Stressed,1,1,0,0,1,0,0,1,0.5,135.0,49.0,5.0,23.0,0.0658,0.0658,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110012,Mankapur (P),Maize,Healthy,2,2,0,2,0,0,0,0,0.0,202.5,57.5,2.5,23.0,0.1939,0.3878,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110013,Jatarla,Bengal Gram,Healthy,4,4,0,4,0,0,0,0,0.0,43.5,28.5,2.0,9.25,0.2456,0.9824,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110014,Bhutai (Buzurg),Bengal Gram,Healthy,7,7,0,7,0,0,0,0,0.0,36.8571,28.7143,1.4286,9.1429,0.2143,1.4998,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110014,Bhutai (Buzurg),Bengal Gram,Stressed,3,3,0,0,3,0,0,3,0.5,37.0,28.6667,1.6667,10.6667,0.2202,0.6607,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110014,Bhutai (Buzurg),Maize,Diseased,2,2,0,0,0,2,0,2,0.8,159.5,48.5,4.0,23.5,0.2184,0.4369,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110014,Bhutai (Buzurg),Maize,Healthy,23,23,0,23,0,0,0,0,0.0,172.2174,48.9565,3.1739,21.8261,0.136,3.1274,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110014,Bhutai (Buzurg),Maize,Pests,1,1,0,0,0,0,1,1,0.9,226.0,46.0,2.0,21.0,0.0768,0.0768,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110015,Chintal Sangvi,Bengal Gram,Diseased,1,1,0,0,0,1,0,1,0.8,34.0,30.0,3.0,12.0,0.6619,0.6619,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110015,Chintal Sangvi,Bengal Gram,Healthy,18,18,0,18,0,0,0,0,0.0,41.7222,32.0,1.8333,10.0,0.2825,5.0848,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110015,Chintal Sangvi,Bengal Gram,Pests,1,1,0,0,0,0,1,1,0.9,43.0,35.0,1.0,9.0,0.4532,0.4532,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110015,Chintal Sangvi,Bengal Gram,Stressed,1,1,0,0,1,0,0,1,0.5,42.0,29.0,2.0,12.0,0.0953,0.0953,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110015,Chintal Sangvi,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,73.0,51.0,4.0,10.0,1.1366,1.1366,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110016,Dehgaon,Bengal Gram,Healthy,14,14,0,14,0,0,0,0,0.0,41.2857,32.2143,1.9286,10.0714,0.3315,4.6404,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110016,Dehgaon,Bengal Gram,Pests,1,1,0,0,0,0,1,1,0.9,39.0,38.0,1.0,10.0,0.5013,0.5013,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110016,Dehgaon,Bengal Gram,Stressed,1,1,0,0,1,0,0,1,0.5,31.0,27.0,2.0,10.0,0.8335,0.8335,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110016,Dehgaon,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,108.0,47.0,3.0,10.0,0.7986,0.7986,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110017,Bhosra,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,30.0,39.0,2.0,10.0,0.5195,0.5195,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110018,Dharampuri,Bengal Gram,Pests,1,1,0,0,0,0,1,1,0.9,30.0,20.0,2.0,12.0,0.4722,0.4722,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110021,Dignoor,Cotton,Healthy,5,5,0,5,0,0,0,0,0.0,95.0,51.0,3.6,13.6,0.279,1.395,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110021,Dignoor,Cotton,Pests,1,1,0,0,0,0,1,1,0.9,91.0,60.0,5.0,17.0,0.197,0.197,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110021,Dignoor,Cotton,Stressed,1,1,0,0,1,0,0,1,0.5,103.0,41.0,3.0,18.0,0.1104,0.1104,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110022,Girnur,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,31.0,34.0,1.0,8.0,0.8456,0.8456,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110023,Balanpur,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,33.0,27.0,2.0,11.0,0.393,0.393,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110024,Bazarhatnur,Bengal Gram,Healthy,2,2,0,2,0,0,0,0,0.0,36.5,27.0,2.0,10.5,0.3471,0.6943,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110024,Bazarhatnur,Bengal Gram,Stressed,1,1,0,0,1,0,0,1,0.5,31.0,34.0,2.0,10.0,0.6191,0.6191,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110024,Bazarhatnur,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,99.0,51.0,4.0,10.0,0.3806,0.3806,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110024,Bazarhatnur,Cotton,Pests,1,1,0,0,0,0,1,1,0.9,92.0,46.0,6.0,11.0,2.3148,2.3148,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110024,Bazarhatnur,Maize,Healthy,1,1,0,1,0,0,0,0,0.0,204.0,60.0,4.0,25.0,0.4126,0.4126,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110030,Pipri,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,30.0,27.0,3.0,8.0,0.6002,0.6002,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110030,Pipri,Cotton,Diseased,1,1,0,0,0,1,0,1,0.8,98.0,46.0,2.0,17.0,0.3329,0.3329,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110030,Pipri,Cotton,Healthy,7,7,0,7,0,0,0,0,0.0,91.8571,50.2857,3.7143,13.7143,0.4638,3.2468,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110030,Pipri,Cotton,Pests,1,1,0,0,0,0,1,1,0.9,113.0,50.0,4.0,11.0,0.838,0.838,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110031,Warthamanoor,Cotton,Healthy,6,6,0,6,0,0,0,0,0.0,76.3333,50.6667,4.1667,13.1667,0.5767,3.46,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110031,Warthamanoor,Cotton,Pests,1,1,0,0,0,0,1,1,0.9,111.0,48.0,6.0,14.0,0.5647,0.5647,100.0,100.0
ADILABAD,BAZARHATHNOOR,0110F01,FOREST,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,46.0,36.0,1.0,9.0,0.4117,0.4117,0.0,100.0
ADILABAD,BAZARHATHNOOR,0110F01,FOREST,Cotton,Healthy,3,3,0,3,0,0,0,0,0.0,78.3333,53.6667,3.0,12.6667,0.592,1.7759,0.0,100.0
ADILABAD,BELA,0105001,Awalpur,Bengal Gram,Healthy,6,6,0,6,0,0,0,0,0.0,38.5,25.3333,1.6667,9.1667,0.5612,3.367,0.0,100.0
ADILABAD,BELA,0105001,Awalpur,Bengal Gram,Stressed,1,1,0,0,1,0,0,1,0.5,44.0,29.0,3.0,8.0,1.161,1.161,100.0,100.0
ADILABAD,BELA,0105001,Awalpur,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,97.0,49.0,6.0,15.0,0.2814,0.2814,0.0,100.0
ADILABAD,BELA,0105002,Narayanpur,Maize,Healthy,1,1,0,1,0,0,0,0,0.0,205.0,55.0,4.0,21.0,0.0802,0.0802,0.0,100.0
ADILABAD,BELA,0105003,Sangdi,Bengal Gram,Diseased,1,1,0,0,0,1,0,1,0.8,42.0,25.0,1.0,12.0,0.4476,0.4476,100.0,100.0
ADILABAD,BELA,0105003,Sangdi,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,42.0,26.0,3.0,12.0,0.1328,0.1328,0.0,100.0
ADILABAD,BELA,0105003,Sangdi,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,85.0,49.0,5.0,12.0,1.2276,1.2276,0.0,100.0
ADILABAD,BELA,0105003,Sangdi,Cotton,Pests,1,1,0,0,0,0,1,1,0.9,110.0,50.0,3.0,15.0,0.9866,0.9866,100.0,100.0
ADILABAD,BELA,0105003,Sangdi,Cotton,Stressed,1,1,0,0,1,0,0,1,0.5,111.0,49.0,4.0,10.0,0.4454,0.4454,100.0,100.0
ADILABAD,BELA,0105004,Bhedoda,Bengal Gram,Healthy,3,3,0,3,0,0,0,0,0.0,38.3333,36.0,2.0,9.0,0.7432,2.2296,0.0,100.0
ADILABAD,BELA,0105007,Khagdur,Cotton,Healthy,3,3,0,3,0,0,0,0,0.0,92.3333,51.6667,3.0,15.0,0.4205,1.2614,0.0,100.0
ADILABAD,BELA,0105007,Khagdur,Maize,Healthy,2,2,0,2,0,0,0,0,0.0,178.0,49.0,3.5,22.5,0.4919,0.9838,0.0,100.0
ADILABAD,BELA,0105012,Dehegaon,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,43.0,20.0,1.0,11.0,0.6142,0.6142,0.0,100.0
ADILABAD,BELA,0105012,Dehegaon,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,82.0,51.0,4.0,17.5,0.7109,1.4217,0.0,100.0
ADILABAD,BELA,0105013,Guda,Bengal Gram,Healthy,4,4,0,4,0,0,0,0,0.0,41.0,30.25,2.5,9.75,0.3984,1.5935,0.0,100.0
ADILABAD,BELA,0105017,Bela,Cotton,Stressed,1,1,0,0,1,0,0,1,0.5,95.0,54.0,5.0,11.0,0.6154,0.6154,100.0,100.0
ADILABAD,BELA,0105018,Dhoptala,Cotton,Healthy,3,3,0,3,0,0,0,0,0.0,87.6667,50.3333,2.3333,15.6667,1.635,4.9051,0.0,100.0
ADILABAD,BELA,0105020,Singapur,Bengal Gram,Healthy,3,3,0,3,0,0,0,0,0.0,41.3333,26.6667,1.3333,9.6667,0.9488,2.8463,0.0,100.0
ADILABAD,BELA,0105021,Bhadi,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,48.0,25.0,3.0,12.0,0.6993,0.6993,0.0,100.0
ADILABAD,BELA,0105021,Bhadi,Cotton,Diseased,1,1,0,0,0,1,0,1,0.8,118.0,47.0,3.0,18.0,0.9916,0.9916,100.0,100.0
ADILABAD,BELA,0105021,Bhadi,Cotton,Healthy,3,3,0,3,0,0,0,0,0.0,84.3333,54.0,3.6667,15.3333,0.4004,1.2013,0.0,100.0
ADILABAD,BELA,0105023,Masala (Buzurg),Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,31.0,38.0,2.0,9.0,0.5767,0.5767,0.0,100.0
ADILABAD,BELA,0105023,Masala (Buzurg),Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,112.0,55.0,4.0,16.0,1.0751,1.0751,0.0,100.0
ADILABAD,BELA,0105024,Ekori,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,113.5,58.0,4.5,14.0,1.3153,2.6306,0.0,100.0
ADILABAD,BELA,0105026,Junoni,Bengal Gram,Diseased,1,1,0,0,0,1,0,1,0.8,37.0,24.0,2.0,9.0,0.0874,0.0874,100.0,100.0
ADILABAD,BELA,0105026,Junoni,Bengal Gram,Healthy,2,2,0,2,0,0,0,0,0.0,35.5,20.5,2.0,12.0,0.6035,1.207,0.0,100.0
ADILABAD,BELA,0105026,Junoni,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,91.5,44.5,2.5,12.5,0.8882,1.7764,0.0,100.0
ADILABAD,BELA,0105028,Patan,Cotton,Healthy,4,4,0,4,0,0,0,0,0.0,100.5,53.5,4.75,16.25,0.5824,2.3297,0.0,100.0
ADILABAD,BELA,0105029,Ramkam,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,91.5,53.5,4.5,19.0,1.2113,2.4227,0.0,100.0
ADILABAD,BELA,0105029,Ramkam,Cotton,Pests,1,1,0,0,0,0,1,1,0.9,114.0,43.0,2.0,13.0,1.0248,1.0248,100.0,100.0
ADILABAD,BELA,0105030,Ponnala,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,70.0,52.0,3.0,19.0,0.1968,0.1968,0.0,100.0
ADILABAD,BELA,0105031,Chandpalle,Cotton,Diseased,1,1,0,0,0,1,0,1,0.8,74.0,53.0,2.0,19.0,0.6006,0.6006,100.0,100.0
ADILABAD,BELA,0105031,Chandpalle,Cotton,Healthy,7,7,0,7,0,0,0,0,0.0,95.7143,47.4286,3.0,13.4286,0.9184,6.4289,0.0,100.0
ADILABAD,BELA,0105032,Pitgaon,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,63.0,59.0,4.0,13.0,0.7685,0.7685,0.0,100.0
ADILABAD,BELA,0105033,Chaprala,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,92.5,47.5,4.0,12.5,1.0644,2.1287,0.0,100.0
ADILABAD,BELA,0105033,Chaprala,Cotton,Pests,1,1,0,0,0,0,1,1,0.9,113.0,42.0,2.0,11.0,1.2792,1.2792,100.0,100.0
ADILABAD,BELA,0105034,Warur,Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,75.0,45.0,5.0,14.0,0.9462,1.8924,0.0,100.0
ADILABAD,BELA,0105035,Sonkhos,Cotton,Healthy,3,3,0,3,0,0,0,0,0.0,88.0,49.3333,3.0,12.6667,0.6857,2.0571,0.0,100.0
ADILABAD,BELA,0105037,Sadarpur,Cotton,Healthy,3,3,0,3,0,0,0,0,0.0,87.0,46.0,3.6667,15.3333,0.817,2.451,0.0,100.0
ADILABAD,BELA,0105037,Sadarpur,Cotton,Stressed,1,1,0,0,1,0,0,1,0.5,68.0,46.0,2.0,12.0,1.3834,1.3834,100.0,100.0
ADILABAD,BELA,0105039,Karoni (K),Cotton,Healthy,2,2,0,2,0,0,0,0,0.0,96.0,54.0,4.0,14.5,0.6616,1.3231,0.0,100.0
ADILABAD,BELA,0105F01,FOREST,Cotton,Healthy,1,1,0,1,0,0,0,0,0.0,78.0,55.0,3.0,18.0,0.7037,0.7037,0.0,100.0
ADILABAD,BHAINSA,0116001,Chichond,Bengal Gram,Pests,1,1,0,0,0,0,1,1,0.9,31.0,33.0,1.0,10.0,0.4315,0.4315,100.0,100.0
ADILABAD,BHAINSA,0116002,Kumbhi,Bengal Gram,,1,0,1,0,0,0,0,0,,41.0,23.0,3.0,11.0,0.6207,0.6207,,0.0
ADILABAD,BHAINSA,0116002,Kumbhi,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,44.0,29.0,2.0,11.0,0.7123,0.7123,0.0,100.0
ADILABAD,BHAINSA,0116002,Kumbhi,Maize,,1,0,1,0,0,0,0,0,,175.0,41.0,4.0,22.0,0.6617,0.6617,,0.0
ADILABAD,BHAINSA,0116002,Kumbhi,Maize,Healthy,2,2,0,2,0,0,0,0,0.0,192.5,51.5,3.5,23.0,0.6888,1.3775,0.0,100.0
ADILABAD,BHAINSA,0116003,Takli,Maize,Healthy,1,1,0,1,0,0,0,0,0.0,204.0,58.0,2.0,25.0,1.8492,1.8492,0.0,100.0
ADILABAD,BHAINSA,0116003,Takli,Maize,Stressed,1,1,0,0,1,0,0,1,0.5,228.0,43.0,2.0,25.0,0.3373,0.3373,100.0,100.0
ADILABAD,BHAINSA,0116004,Linga,Maize,Healthy,6,6,0,6,0,0,0,0,0.0,137.1667,51.5,3.3333,22.1667,1.2367,7.4201,0.0,100.0
ADILABAD,BHAINSA,0116005,Mirzapur,Maize,Healthy,3,3,0,3,0,0,0,0,0.0,190.6667,50.0,3.3333,21.0,0.4357,1.3072,0.0,100.0
ADILABAD,BHAINSA,0116006,Siddur,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,41.0,32.0,2.0,9.0,0.7557,0.7557,0.0,100.0
ADILABAD,BHAINSA,0116006,Siddur,Maize,Diseased,2,2,0,0,0,2,0,2,0.8,238.0,47.5,3.5,21.5,0.6903,1.3807,100.0,100.0
ADILABAD,BHAINSA,0116006,Siddur,Maize,Healthy,11,11,0,11,0,0,0,0,0.0,167.6364,48.2727,2.9091,23.0,0.7086,7.7946,0.0,100.0
ADILABAD,BHAINSA,0116007,Gundagaon,Maize,Healthy,2,2,0,2,0,0,0,0,0.0,226.5,51.5,3.0,23.0,2.3874,4.7747,0.0,100.0
ADILABAD,BHAINSA,0116008,Mahagaon,Bengal Gram,Healthy,3,3,0,3,0,0,0,0,0.0,41.6667,24.0,2.6667,11.0,0.627,1.881,0.0,100.0
ADILABAD,BHAINSA,0116008,Mahagaon,Maize,Diseased,2,2,0,0,0,2,0,2,0.8,201.0,43.0,4.5,20.5,0.5277,1.0555,100.0,100.0
ADILABAD,BHAINSA,0116008,Mahagaon,Maize,Healthy,21,21,0,21,0,0,0,0,0.0,179.8571,51.7619,3.2857,22.4762,0.5617,11.7948,0.0,100.0
ADILABAD,BHAINSA,0116008,Mahagaon,Maize,Pests,3,3,0,0,0,0,3,3,0.9,165.3333,54.6667,3.3333,22.6667,0.6987,2.0961,100.0,100.0
ADILABAD,BHAINSA,0116008,Mahagaon,Maize,Stressed,1,1,0,0,1,0,0,1,0.5,161.0,54.0,2.0,20.0,0.3248,0.3248,100.0,100.0
ADILABAD,BHAINSA,0116009,Chintalabori,Bengal Gram,Healthy,1,1,0,1,0,0,0,0,0.0,44.0,27.0,1.0,12.0,0.4846,0.4846,0.0,100.0
ADILABAD,BHAINSA,0116009,Chintalabori,Maize,Healthy,2,2,0,2,0,0,0,0,0.0,124.5,48.5,3.0,24.5,0.433,0.866,0.0,100.0
ADILABAD,BHAINSA,0116009,Chintalabori,Maize,Stressed,1,1,0,0,1,0,0,1,0.5,207.0,44.0,4.0,25.0,0.5326,0.5326,100.0,100.0
ADILABAD,BHAINSA,0116010,Kotalgaon,Maize,Healthy,12,12,0,12,0,0,0,0,0.0,163.9167,49.3333,3.4167,22.3333,0.602,7.2237,0.0,100.0
ADILABAD,BHAINSA,0116011,Bijjur,Maize,Healthy,6,6,0,6,0,0,0,0,0.0,178.3333,47.3333,3.8333,23.3333,0.8003,4.8018,0.0,100.0
ADILABAD,BHAINSA,0116011,Bijjur,Maize,Pests,1,1,0,0,0,0,1,1,0.9,248.0,52.0,5.0,20.0,0.2744,0.2744,100.0,100.0
ADILABAD,BHAINSA,0116012,Sunkli,Maize,Diseased,1,1,0,0,0,1,0,1,0.8,118.0,49.0,5.0,21.0,0.1841,0.1841,100.0,100.0
ADILABAD,BHAINSA,0116012,Sunkli,Maize,Healthy,16,16,0,16,0,0,0,0,0.0,181.9375,51.625,3.625,21.8125,0.4787,7.6597,0.0,100.0
