admin_old_district_code,admin_old_district_name,admin_old_block_mandal_code,admin_old_block_mandal_name,admin_village_code,admin_village_name,sample_farms,labelled_farms,unknown_health_farms,healthy_farms,stressed_farms,diseased_farms,pest_farms,unhealthy_farms,avg_health_risk_score,avg_crop_height,avg_water_coverage,avg_irrigation_count,avg_expected_yield,avg_field_area_ha,total_sample_area_ha,unhealthy_pct_of_labelled,label_coverage_pct,primary_sample_crop,primary_crop_sample_farms,dominant_health_status,dominant_status_labelled_farms,dashboard_risk_class
1,ADILABAD,102,TAMSI,0102031,Ponnari,5,5,0,4,1,0,0,1,0.1,78.2,52.0,3.8,14.2,0.3733,1.8666,20.0,100.0,Cotton,5,Healthy,4,Low
1,ADILABAD,103,ADILABAD,0103001,Dimma,1,1,0,1,0,0,0,0,0.0,40.0,25.0,1.0,11.0,0.5296,0.5296,0.0,100.0,Bengal Gram,1,Healthy,1,Low
1,ADILABAD,103,ADILABAD,0103002,Pochara,2,2,0,2,0,0,0,0,0.0,94.5,49.0,4.0,17.5,0.523,1.046,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,103,ADILABAD,0103005,Chanda,4,4,0,4,0,0,0,0,0.0,82.75,49.0,5.0,14.25,0.5947,2.3787,0.0,100.0,Cotton,4,Healthy,4,Low
1,ADILABAD,103,ADILABAD,0103007,Landasangvi,3,3,0,2,1,0,0,1,0.1667,89.6667,44.0,4.3333,13.0,1.1318,3.3955,33.33333333333333,100.0,Cotton,3,Healthy,2,Low
1,ADILABAD,103,ADILABAD,0103008,Arli (Buzurg),3,3,0,3,0,0,0,0,0.0,79.6667,49.0,3.6667,13.0,0.856,2.5681,0.0,100.0,Cotton,3,Healthy,3,Low
1,ADILABAD,103,ADILABAD,0103011,Bheemseri,2,2,0,2,0,0,0,0,0.0,97.0,51.0,4.0,16.0,0.7113,1.4225,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,103,ADILABAD,0103012,Rampoor (Royati),1,1,0,1,0,0,0,0,0.0,82.0,41.0,5.0,14.0,1.1231,1.1231,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,103,ADILABAD,0103013,Tarada  (Srimath),3,3,0,2,1,0,0,1,0.1667,45.3333,29.0,2.3333,13.3333,0.5959,1.7876,33.33333333333333,100.0,Bengal Gram,2,Healthy,2,Low
1,ADILABAD,103,ADILABAD,0103015,Battisawargaon,4,4,0,4,0,0,0,0,0.0,85.5,49.0,4.75,13.75,0.6126,2.4506,0.0,100.0,Cotton,4,Healthy,4,Low
1,ADILABAD,103,ADILABAD,0103018,Anukunta,3,3,0,0,1,1,1,3,0.7333,104.3333,43.3333,3.0,11.3333,1.2338,3.7013,100.0,100.0,Red Gram,2,Diseased,1,Very High
1,ADILABAD,103,ADILABAD,0103020,Kumbhajheri,4,1,3,1,0,0,0,0,0.0,85.0,49.0,3.25,13.25,0.7313,2.9253,0.0,25.0,Cotton,4,Healthy,1,Low
1,ADILABAD,103,ADILABAD,0103023,Kachkanti,2,1,1,1,0,0,0,0,0.0,59.5,38.5,4.0,11.5,0.4278,0.8557,0.0,50.0,Cotton,1,Healthy,1,Low
1,ADILABAD,103,ADILABAD,0103024,Tontoli,2,2,0,2,0,0,0,0,0.0,89.5,39.5,3.0,12.0,0.9632,1.9265,0.0,100.0,Cotton,1,Healthy,2,Low
1,ADILABAD,103,ADILABAD,0103025,Mavala,2,2,0,2,0,0,0,0,0.0,86.0,50.0,2.5,17.5,1.0977,2.1953,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,103,ADILABAD,0103026,Ankoli,3,3,0,3,0,0,0,0,0.0,70.0,61.3333,2.3333,14.3333,1.3763,4.1288,0.0,100.0,Red Gram,2,Healthy,3,Low
1,ADILABAD,103,ADILABAD,0103027,Maleborgaon,1,1,0,0,0,0,1,1,0.9,103.0,43.0,5.0,10.0,0.4037,0.4037,100.0,100.0,Cotton,1,Pests,1,Very High
1,ADILABAD,103,ADILABAD,0103030,Ankapoor,3,3,0,2,1,0,0,1,0.1667,86.3333,34.6667,2.3333,11.0,0.4234,1.2702,33.33333333333333,100.0,Red Gram,3,Healthy,2,Low
1,ADILABAD,103,ADILABAD,0103032,Lokari,1,1,0,0,1,0,0,1,0.5,80.0,43.0,4.0,13.0,0.3916,0.3916,100.0,100.0,Cotton,1,Stressed,1,High
1,ADILABAD,103,ADILABAD,0103033,Kottur (Nevegaon),1,1,0,1,0,0,0,0,0.0,73.0,55.0,5.0,15.0,1.4906,1.4906,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,103,ADILABAD,0103034,Borenur,1,1,0,1,0,0,0,0,0.0,114.0,60.0,6.0,15.0,1.0135,1.0135,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,103,ADILABAD,0103037,Belluri,1,1,0,1,0,0,0,0,0.0,83.0,46.0,5.0,11.0,1.2606,1.2606,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,103,ADILABAD,0103039,Khandala,1,1,0,1,0,0,0,0,0.0,101.0,55.0,5.0,15.0,0.3447,0.3447,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,103,ADILABAD,0103F01,FOREST,3,3,0,2,0,1,0,1,0.2667,86.6667,51.0,4.3333,14.6667,0.9629,2.8886,33.33333333333333,100.0,Cotton,3,Healthy,2,Moderate
1,ADILABAD,103,ADILABAD,0103F02,FOREST,4,4,0,3,0,1,0,1,0.2,75.25,45.75,3.5,11.25,0.65,2.5999,25.0,100.0,Cotton,2,Healthy,3,Low
1,ADILABAD,104,JAINAD,0104001,Hathighat,1,1,0,1,0,0,0,0,0.0,67.0,42.0,4.0,14.0,2.1937,2.1937,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104002,Korta,1,1,0,1,0,0,0,0,0.0,103.0,46.0,3.0,12.0,0.7682,0.7682,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104003,Gimma (Buzurg),1,1,0,1,0,0,0,0,0.0,118.0,41.0,3.0,14.0,1.2899,1.2899,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104005,Akoli,1,1,0,1,0,0,0,0,0.0,67.0,40.0,3.0,14.0,0.8613,0.8613,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104006,Kamai,1,1,0,1,0,0,0,0,0.0,67.0,48.0,5.0,10.0,1.3444,1.3444,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104007,Dollara,5,5,0,4,0,1,0,1,0.16,188.8,50.4,3.8,20.2,0.4239,2.1193,20.0,100.0,Maize,4,Healthy,4,Low
1,ADILABAD,104,JAINAD,0104008,Moudagada,1,1,0,1,0,0,0,0,0.0,61.0,53.0,2.0,13.0,1.5527,1.5527,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104009,Pendalwada,3,3,0,2,1,0,0,1,0.1667,123.0,48.0,3.3333,20.6667,0.6646,1.9939,33.33333333333333,100.0,Maize,2,Healthy,2,Low
1,ADILABAD,104,JAINAD,0104010,Karanwadi,2,2,0,2,0,0,0,0,0.0,70.5,38.5,2.5,10.5,1.1971,2.3942,0.0,100.0,Bengal Gram,1,Healthy,2,Low
1,ADILABAD,104,JAINAD,0104011,Sangvi (K),5,5,0,4,0,0,1,1,0.18,41.8,36.4,2.6,10.6,0.8405,4.2023,20.0,100.0,Bengal Gram,4,Healthy,4,Low
1,ADILABAD,104,JAINAD,0104012,Kowtha,1,1,0,1,0,0,0,0,0.0,101.0,57.0,4.0,14.0,1.5531,1.5531,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104013,Bahadurpur,3,3,0,2,1,0,0,1,0.1667,32.0,31.0,2.0,9.0,0.2839,0.8518,33.33333333333333,100.0,Bengal Gram,3,Healthy,2,Low
1,ADILABAD,104,JAINAD,0104014,Hariyali,1,1,0,1,0,0,0,0,0.0,100.0,49.0,3.0,15.0,0.6397,0.6397,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104015,Kodekotha,2,2,0,1,0,0,1,1,0.45,86.5,38.0,3.0,16.5,0.2939,0.5879,50.0,100.0,Bengal Gram,1,Healthy,1,Moderate
1,ADILABAD,104,JAINAD,0104017,Kura,3,3,0,3,0,0,0,0,0.0,39.3333,28.0,1.6667,11.0,0.8744,2.6231,0.0,100.0,Bengal Gram,3,Healthy,3,Low
1,ADILABAD,104,JAINAD,0104018,Kuthompur,7,7,0,6,1,0,0,1,0.0714,54.8571,35.7143,2.4286,11.2857,0.4169,2.9185,14.285714285714285,100.0,Bengal Gram,6,Healthy,6,Low
1,ADILABAD,104,JAINAD,0104019,Deepaiguda,12,12,0,10,1,1,0,2,0.1083,39.3333,26.75,2.0833,10.9167,0.6904,8.2852,16.666666666666664,100.0,Bengal Gram,12,Healthy,10,Low
1,ADILABAD,104,JAINAD,0104020,Akurla,6,6,0,6,0,0,0,0,0.0,52.1667,31.3333,2.0,10.8333,0.6571,3.9428,0.0,100.0,Bengal Gram,5,Healthy,6,Low
1,ADILABAD,104,JAINAD,0104021,Lekarwadi,7,7,0,7,0,0,0,0,0.0,81.8571,43.1429,3.1429,12.5714,0.5907,4.1352,0.0,100.0,Cotton,5,Healthy,7,Low
1,ADILABAD,104,JAINAD,0104022,Dadapoor,7,7,0,6,1,0,0,1,0.0714,92.1429,51.2857,4.0,14.1429,0.6984,4.8887,14.285714285714285,100.0,Cotton,7,Healthy,6,Low
1,ADILABAD,104,JAINAD,0104023,Sekapoor,2,2,0,2,0,0,0,0,0.0,91.5,55.5,3.0,16.5,1.176,2.3521,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,104,JAINAD,0104024,Pipparwada,1,1,0,1,0,0,0,0,0.0,112.0,53.0,5.0,18.0,1.0215,1.0215,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104025,Gimma (Khurd),5,5,0,4,0,1,0,1,0.16,102.4,52.2,3.2,17.2,1.089,5.4448,20.0,100.0,Cotton,5,Healthy,4,Low
1,ADILABAD,104,JAINAD,0104026,Rampurtaraf,2,2,0,1,1,0,0,1,0.25,73.5,47.5,3.0,11.5,0.8575,1.7151,50.0,100.0,Cotton,2,Healthy,1,Moderate
1,ADILABAD,104,JAINAD,0104028,Sirsonna,2,2,0,2,0,0,0,0,0.0,78.5,50.0,4.5,16.5,0.7086,1.4172,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,104,JAINAD,0104030,Poosai,1,1,0,1,0,0,0,0,0.0,80.0,51.0,3.0,10.0,0.511,0.511,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104031,Hashampur,8,8,0,5,2,0,1,3,0.2375,96.375,48.375,3.5,14.625,0.6699,5.3591,37.5,100.0,Cotton,8,Healthy,5,Moderate
1,ADILABAD,104,JAINAD,0104034,Tarada (Buzurg),3,3,0,3,0,0,0,0,0.0,98.3333,48.6667,3.6667,16.6667,0.7776,2.3329,0.0,100.0,Cotton,3,Healthy,3,Low
1,ADILABAD,104,JAINAD,0104035,Fouzpur,2,2,0,2,0,0,0,0,0.0,106.5,53.5,2.5,15.5,2.905,5.81,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,104,JAINAD,0104036,Bhoraj,1,1,0,1,0,0,0,0,0.0,98.0,59.0,4.0,18.0,0.7118,0.7118,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104037,Ballori,7,7,0,5,1,0,1,2,0.2,40.8571,33.1429,1.4286,11.1429,0.9023,6.3158,28.57142857142857,100.0,Bengal Gram,7,Healthy,5,Low
1,ADILABAD,104,JAINAD,0104038,Nizampur,1,1,0,1,0,0,0,0,0.0,91.0,55.0,5.0,10.0,1.3183,1.3183,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,104,JAINAD,0104040,Nirala,8,8,0,7,1,0,0,1,0.0625,41.125,29.875,1.875,9.5,0.489,3.9121,12.5,100.0,Bengal Gram,8,Healthy,7,Low
1,ADILABAD,104,JAINAD,0104043,Jainad,11,11,0,8,0,0,3,3,0.2455,41.0,29.7273,2.0909,9.5455,1.014,11.154,27.27272727272727,100.0,Bengal Gram,11,Healthy,8,Moderate
1,ADILABAD,104,JAINAD,0104044,Khapri,2,2,0,1,0,0,1,1,0.45,135.0,47.0,3.5,21.5,0.3631,0.7262,50.0,100.0,Maize,2,Healthy,1,Moderate
1,ADILABAD,104,JAINAD,0104045,Umri,2,2,0,1,1,0,0,1,0.25,206.5,54.0,3.0,22.5,0.2753,0.5506,50.0,100.0,Maize,2,Healthy,1,Moderate
1,ADILABAD,104,JAINAD,0104048,Laxmipur (Uligan),13,13,0,9,1,1,2,4,0.2385,58.6923,34.5385,2.5385,12.2308,0.836,10.8678,30.76923076923077,100.0,Bengal Gram,8,Healthy,9,Moderate
1,ADILABAD,104,JAINAD,0104049,Pippalgaon,10,10,0,7,1,1,1,3,0.22,43.5,29.5,2.5,10.5,0.7417,7.4166,30.0,100.0,Bengal Gram,9,Healthy,7,Moderate
1,ADILABAD,104,JAINAD,0104050,Kamtha,2,2,0,1,0,1,0,1,0.4,64.0,44.0,3.0,13.5,1.0075,2.0149,50.0,100.0,Bengal Gram,1,Diseased,1,Moderate
1,ADILABAD,104,JAINAD,0104053,Kanpa (Mediguda),6,1,5,1,0,0,0,0,0.0,79.0,47.3333,3.1667,15.0,0.6856,4.1133,0.0,16.67,Cotton,5,Healthy,1,Low
1,ADILABAD,105,BELA,0105001,Awalpur,8,8,0,7,1,0,0,1,0.0625,46.5,28.75,2.375,9.75,0.6012,4.8093,12.5,100.0,Bengal Gram,7,Healthy,7,Low
1,ADILABAD,105,BELA,0105002,Narayanpur,1,1,0,1,0,0,0,0,0.0,205.0,55.0,4.0,21.0,0.0802,0.0802,0.0,100.0,Maize,1,Healthy,1,Low
1,ADILABAD,105,BELA,0105003,Sangdi,5,5,0,2,1,1,1,3,0.44,78.0,39.8,3.2,12.2,0.648,3.2399,60.0,100.0,Cotton,3,Healthy,2,Moderate
1,ADILABAD,105,BELA,0105004,Bhedoda,3,3,0,3,0,0,0,0,0.0,38.3333,36.0,2.0,9.0,0.7432,2.2296,0.0,100.0,Bengal Gram,3,Healthy,3,Low
1,ADILABAD,105,BELA,0105007,Khagdur,5,5,0,5,0,0,0,0,0.0,126.6,50.6,3.2,18.0,0.449,2.2452,0.0,100.0,Cotton,3,Healthy,5,Low
1,ADILABAD,105,BELA,0105012,Dehegaon,3,3,0,3,0,0,0,0,0.0,69.0,40.6667,3.0,15.3333,0.6786,2.0359,0.0,100.0,Cotton,2,Healthy,3,Low
1,ADILABAD,105,BELA,0105013,Guda,4,4,0,4,0,0,0,0,0.0,41.0,30.25,2.5,9.75,0.3984,1.5935,0.0,100.0,Bengal Gram,4,Healthy,4,Low
1,ADILABAD,105,BELA,0105017,Bela,1,1,0,0,1,0,0,1,0.5,95.0,54.0,5.0,11.0,0.6154,0.6154,100.0,100.0,Cotton,1,Stressed,1,High
1,ADILABAD,105,BELA,0105018,Dhoptala,3,3,0,3,0,0,0,0,0.0,87.6667,50.3333,2.3333,15.6667,1.635,4.9051,0.0,100.0,Cotton,3,Healthy,3,Low
1,ADILABAD,105,BELA,0105020,Singapur,3,3,0,3,0,0,0,0,0.0,41.3333,26.6667,1.3333,9.6667,0.9488,2.8463,0.0,100.0,Bengal Gram,3,Healthy,3,Low
1,ADILABAD,105,BELA,0105021,Bhadi,5,5,0,4,0,1,0,1,0.16,83.8,46.8,3.4,15.2,0.5784,2.8922,20.0,100.0,Cotton,4,Healthy,4,Low
1,ADILABAD,105,BELA,0105023,Masala (Buzurg),2,2,0,2,0,0,0,0,0.0,71.5,46.5,3.0,12.5,0.8259,1.6518,0.0,100.0,Bengal Gram,1,Healthy,2,Low
1,ADILABAD,105,BELA,0105024,Ekori,2,2,0,2,0,0,0,0,0.0,113.5,58.0,4.5,14.0,1.3153,2.6306,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,105,BELA,0105026,Junoni,5,5,0,4,0,1,0,1,0.16,58.2,30.8,2.2,11.6,0.6142,3.0708,20.0,100.0,Bengal Gram,3,Healthy,4,Low
1,ADILABAD,105,BELA,0105028,Patan,4,4,0,4,0,0,0,0,0.0,100.5,53.5,4.75,16.25,0.5824,2.3297,0.0,100.0,Cotton,4,Healthy,4,Low
1,ADILABAD,105,BELA,0105029,Ramkam,3,3,0,2,0,0,1,1,0.3,99.0,50.0,3.6667,17.0,1.1492,3.4475,33.33333333333333,100.0,Cotton,3,Healthy,2,Moderate
1,ADILABAD,105,BELA,0105030,Ponnala,1,1,0,1,0,0,0,0,0.0,70.0,52.0,3.0,19.0,0.1968,0.1968,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,105,BELA,0105031,Chandpalle,8,8,0,7,0,1,0,1,0.1,93.0,48.125,2.875,14.125,0.8787,7.0295,12.5,100.0,Cotton,8,Healthy,7,Low
1,ADILABAD,105,BELA,0105032,Pitgaon,1,1,0,1,0,0,0,0,0.0,63.0,59.0,4.0,13.0,0.7685,0.7685,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,105,BELA,0105033,Chaprala,3,3,0,2,0,0,1,1,0.3,99.3333,45.6667,3.3333,12.0,1.136,3.408,33.33333333333333,100.0,Cotton,3,Healthy,2,Moderate
1,ADILABAD,105,BELA,0105034,Warur,2,2,0,2,0,0,0,0,0.0,75.0,45.0,5.0,14.0,0.9462,1.8924,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,105,BELA,0105035,Sonkhos,3,3,0,3,0,0,0,0,0.0,88.0,49.3333,3.0,12.6667,0.6857,2.0571,0.0,100.0,Cotton,3,Healthy,3,Low
1,ADILABAD,105,BELA,0105037,Sadarpur,4,4,0,3,1,0,0,1,0.125,82.25,46.0,3.25,14.5,0.9586,3.8344,25.0,100.0,Cotton,4,Healthy,3,Low
1,ADILABAD,105,BELA,0105039,Karoni (K),2,2,0,2,0,0,0,0,0.0,96.0,54.0,4.0,14.5,0.6616,1.3231,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,105,BELA,0105F01,FOREST,1,1,0,1,0,0,0,0,0.0,78.0,55.0,3.0,18.0,0.7037,0.7037,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,106,NARNOOR,0106002,Rampur,4,4,0,3,0,1,0,1,0.2,59.25,37.25,2.25,11.0,0.4674,1.8698,25.0,100.0,Red Gram,3,Healthy,3,Low
1,ADILABAD,106,NARNOOR,0106004,Dongargaon,2,2,0,2,0,0,0,0,0.0,55.5,32.5,3.0,10.0,0.3234,0.6468,0.0,100.0,Red Gram,2,Healthy,2,Low
1,ADILABAD,106,NARNOOR,0106005,Sedwai,1,1,0,1,0,0,0,0,0.0,80.0,53.0,6.0,10.0,0.7688,0.7688,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,106,NARNOOR,0106007,Kouthala,5,5,0,5,0,0,0,0,0.0,80.0,31.8,1.6,10.6,0.3592,1.7959,0.0,100.0,Red Gram,5,Healthy,5,Low
1,ADILABAD,106,NARNOOR,0106008,Kothapalle (G),5,5,0,4,1,0,0,1,0.1,80.2,35.6,1.6,9.8,0.3789,1.8947,20.0,100.0,Red Gram,5,Healthy,4,Low
1,ADILABAD,106,NARNOOR,0106009,Kunikasa,3,3,0,2,0,0,1,1,0.3,60.6667,43.0,2.6667,9.0,0.4204,1.2611,33.33333333333333,100.0,Red Gram,3,Healthy,2,Moderate
1,ADILABAD,106,NARNOOR,0106011,Ademeyon,7,7,0,5,2,0,0,2,0.1429,83.8571,31.0,2.0,10.4286,0.3921,2.7445,28.57142857142857,100.0,Red Gram,6,Healthy,5,Low
1,ADILABAD,106,NARNOOR,0106013,Pipri,1,1,0,1,0,0,0,0,0.0,61.0,48.0,2.0,14.0,0.4695,0.4695,0.0,100.0,Cotton,1,Healthy,1,Low
1,ADILABAD,106,NARNOOR,0106015,Paraswada (K),5,5,0,5,0,0,0,0,0.0,90.2,44.4,3.2,11.6,0.4148,2.0741,0.0,100.0,Cotton,4,Healthy,5,Low
1,ADILABAD,106,NARNOOR,0106018,Dhaba (K),2,2,0,2,0,0,0,0,0.0,106.0,41.5,3.5,9.0,0.4771,0.9542,0.0,100.0,Cotton,1,Healthy,2,Low
1,ADILABAD,106,NARNOOR,0106021,Rupapur,5,5,0,5,0,0,0,0,0.0,83.2,33.8,1.8,9.4,0.4278,2.1391,0.0,100.0,Red Gram,5,Healthy,5,Low
1,ADILABAD,106,NARNOOR,0106022,Kolama,10,10,0,9,0,0,1,1,0.09,89.1,42.0,2.2,11.5,0.386,3.8604,10.0,100.0,Red Gram,7,Healthy,9,Low
1,ADILABAD,106,NARNOOR,0106024,Maregaon,2,2,0,1,1,0,0,1,0.25,88.0,50.0,2.5,13.0,0.4921,0.9842,50.0,100.0,Cotton,1,Healthy,1,Moderate
1,ADILABAD,106,NARNOOR,0106025,Dhaba (Buzurg),2,2,0,2,0,0,0,0,0.0,78.0,33.0,3.0,9.5,0.2575,0.515,0.0,100.0,Red Gram,2,Healthy,2,Low
1,ADILABAD,106,NARNOOR,0106026,Lokari (B),3,3,0,2,0,1,0,1,0.2667,91.0,47.6667,3.0,16.0,0.6029,1.8087,33.33333333333333,100.0,Cotton,3,Healthy,2,Moderate
1,ADILABAD,106,NARNOOR,0106029,Chorgaon,1,1,0,1,0,0,0,0,0.0,81.0,39.0,3.0,8.0,0.7426,0.7426,0.0,100.0,Red Gram,1,Healthy,1,Low
1,ADILABAD,106,NARNOOR,0106034,Sangvi,2,2,0,2,0,0,0,0,0.0,91.0,56.0,5.0,16.0,0.5931,1.1862,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,106,NARNOOR,0106035,Pownur,1,1,0,1,0,0,0,0,0.0,35.0,26.0,3.0,11.0,0.3906,0.3906,0.0,100.0,Red Gram,1,Healthy,1,Low
1,ADILABAD,106,NARNOOR,0106037,Umri,2,1,1,1,0,0,0,0,0.0,100.0,48.0,4.0,13.0,0.7097,1.4194,0.0,50.0,Cotton,2,Healthy,1,Low
1,ADILABAD,106,NARNOOR,0106F01,FOREST,28,26,2,21,1,2,2,5,0.15,78.25,40.4286,2.6429,11.0714,0.4278,11.9788,19.230769230769237,92.86,Red Gram,20,Healthy,21,Low
1,ADILABAD,107,INDERAVELLY,0107002,Devapur,2,2,0,2,0,0,0,0,0.0,39.0,33.5,2.0,11.0,0.4329,0.8657,0.0,100.0,Bengal Gram,2,Healthy,2,Low
1,ADILABAD,107,INDERAVELLY,0107003,Ginnera,2,2,0,2,0,0,0,0,0.0,102.0,42.0,4.5,10.5,1.0622,2.1243,0.0,100.0,Cotton,2,Healthy,2,Low
1,ADILABAD,107,INDERAVELLY,0107004,Indervelly (K),5,5,0,5,0,0,0,0,0.0,88.6,44.8,2.8,16.6,0.9026,4.5131,0.0,100.0,Cotton,4,Healthy,5,Low
1,ADILABAD,107,INDERAVELLY,0107006,Gattepalle,2,2,0,1,0,0,1,1,0.45,49.0,45.5,1.5,13.5,0.6715,1.3429,50.0,100.0,Cotton,1,Healthy,1,Moderate
1,ADILABAD,107,INDERAVELLY,0107007,Dodanda,3,3,0,2,0,0,1,1,0.3,81.3333,31.0,4.0,10.3333,0.5948,1.7843,33.33333333333333,100.0,Red Gram,2,Healthy,2,Moderate
1,ADILABAD,107,INDERAVELLY,0107008,Indervelly (B),29,29,0,24,3,1,1,5,0.1103,106.5517,43.3103,3.1379,15.5862,0.7688,22.2948,17.24137931034483,100.0,Cotton,13,Healthy,24,Low
1,ADILABAD,107,INDERAVELLY,0107009,Yamaikunta,24,24,0,20,1,1,2,4,0.1292,101.3333,47.7083,3.625,14.0833,0.7648,18.3547,16.666666666666664,100.0,Cotton,17,Healthy,20,Low
