file,column,dtype,missing,unique_values,min,max,mean,sample_values
Train.csv,ExpYield,int64,0,26,5.0,30.0,15.69447261663286,
Train.csv,Season,object,0,2,,,,Rabi | Kharif
Train.csv,geometry,object,0,7888,,,,"POLYGON ((78.18143246076087 17.978884603571068, 78.18149324901445 17.97898640558611, 78.18175397935514 17.978865561467536, 78.18166316316905 17.978728604799823, 78.18143246076087 17.978884603571068)) | POLYGON ((78.17545177547453 17.981074445477304, 78.17578208273196 17.98104441754481, 78.1757432661363 17.980859123229667, 78.17544591636575 17.9808781653332, 78.17545324025173 17.98094481269556, 78.17545177547453 17.981074445477304)) | POLYGON ((78.16914224770792 17.976212849967755, 78.16930117603356 17.97618868114404, 78.16928066915284 17.975967499787625, 78.16910782544385 17.975972626507808, 78.16914224770792 17.976212849967755)) | POLYGON ((78.16889103841902 17.974608186550842, 78.16915762786849 17.974714382897467, 78.16923306389401 17.974564243234997, 78.16894743234103 17.974463905997155, 78.16889103841902 17.974608186550842)) | POLYGON ((78.17264452998072 17.969251496349454, 78.1727609797677 17.96925515829244, 78.1727587826019 17.969126257899298, 78.17272728989222 17.969053751428156, 78.1726188963798 17.96908011741766, 78.17264452998072 17.969251496349454)) | POLYGON ((78.17299094978729 17.96296394024075, 78.17324655340778 17.962941236194233, 78.17325241251656 17.962621914765766, 78.17320846920072 17.962567718009556, 78.17317917365682 17.962588957278882, 78.17300925950222 17.962599210719247, 78.17300925950222 17.96271053378605, 78.17299094978729 17.96296394024075)) | POLYGON ((78.17654376687328 17.95927123693265, 78.17665875188308 17.959256589160702, 78.17664337172253 17.959052985130626, 78.17652911910133 17.959069830068366, 78.1765415697075 17.959193603741326, 78.17654376687328 17.95927123693265)) | POLYGON ((78.17882149541123 17.957916318027465, 78.17902363466412 17.95795952895471, 78.17904047960185 17.957808656903648, 78.17884932617794 17.95777057269658, 78.17882149541123 17.957916318027465)) | POLYGON ((78.18103587233549 17.951640113942023, 78.18126913810376 17.951698338835516, 78.18129074356739 17.95157602993975, 78.18106736504517 17.95152549512653, 78.18103587233549 17.951640113942023)) | POLYGON ((78.18079088834969 17.946333592359554, 78.18097471788764 17.94631455025602, 78.18097618266484 17.94619370613745, 78.18078649401811 17.946220804515555, 78.18079088834969 17.946333592359554)) | POLYGON ((78.17880977719372 17.94164703772477, 78.17894783244434 17.94168695290333, 78.17901777555538 17.94149506709081, 78.1788965652425 17.94144599705478, 78.17880977719372 17.94164703772477)) | POLYGON ((78.17585715256335 17.933051358951367, 78.17604610882148 17.932929782444198, 78.1759289266459 17.93267784076669, 78.17572385783862 17.932805276382638, 78.17585715256335 17.933051358951367)) | POLYGON ((78.14917989790295 17.911979806615513, 78.14922530599598 17.91207867907616, 78.1493930229848 17.912005440216422, 78.14932857278822 17.911899243869797, 78.14917989790295 17.911979806615513)) | POLYGON ((78.11398349907756 17.8912026744958, 78.1141175261909 17.89118070283788, 78.11410873752772 17.89099907046572, 78.1139725132486 17.891017380180656, 78.11398349907756 17.8912026744958)) | POLYGON ((78.11867005371231 17.854679187531957, 78.1190091496329 17.854618399278372, 78.11899523424955 17.85445580900975, 78.1188663338564 17.854496822771203, 78.11865101160878 17.854530512646683, 78.11867005371231 17.854679187531957))"
Test.csv,FarmID,int64,0,2718,16314.0,1332142.0,1266987.1799116998,
Test.csv,Crop,object,0,7,,,,Paddy | Cotton | Maize | Bengal Gram | Groundnut | Chillies | Red Gram
Test.csv,State,object,0,1,,,,Telangana
Test.csv,District,object,0,12,,,,Medak | Sangareddy | Kumurambheem Asifabad | Adilabad | Mahabubnagar | Nirmal | Nalgonda | Kamareddy | Mahabubabad | Narayanpet | Vikarabad | Warangal
Test.csv,Sub-District,object,0,35,,,,Nizampet | Tekmal | Toopran | Vatpally | Jainoor | Narnoor | Talamadugu | Sathnala | Gandeed | Jadcherla | Addakal | Malegaon | Ponkal | Nampally | Kethepally
Test.csv,SDate,object,0,296,,,,2023-11-12 0:00:00 | 2023-12-20 0:00:00 | 2023-11-29 0:00:00 | 2023-01-11 0:00:00 | 2023-04-11 0:00:00 | 2023-11-16 0:00:00 | 2023-12-30 0:00:00 | 2023-12-21 0:00:00 | 2023-11-25 0:00:00 | 2023-01-12 0:00:00 | 2023-08-12 0:00:00 | 2023-03-12 0:00:00 | 2023-12-15 0:00:00 | 2023-12-28 0:00:00 | 2023-11-19 0:00:00
Test.csv,HDate,object,0,383,,,,2024-05-14 0:00:00 | 2024-05-28 0:00:00 | 2024-05-18 0:00:00 | 2024-04-27 0:00:00 | 2024-04-25 0:00:00 | 2024-05-24 0:00:00 | 2024-05-22 0:00:00 | 2024-04-22 0:00:00 | 2024-01-05 0:00:00 | 2024-05-03 0:00:00 | 2024-10-03 0:00:00 | 2024-08-02 0:00:00 | 2024-03-25 0:00:00 | 2024-02-03 0:00:00 | 2024-03-27 0:00:00
Test.csv,CropCoveredArea,int64,0,61,40.0,100.0,77.80242825607064,
Test.csv,CHeight,int64,0,230,20.0,250.0,98.8579838116262,
Test.csv,CNext,object,0,11,,,,Lentil | Pea | Sorghum | Maize | Wheat | Soybean | Mustard | Rice | Tomato | Onion | cotton
Test.csv,CLast,object,0,10,,,,Pea | Lentil | Maize | Sorghum | Soybean | Wheat | Mustard | Rice | Onion | Tomato
Test.csv,CTransp,object,0,4,,,,Transplanting | Drilling | Broadcasting | Seed Drilling
Test.csv,IrriType,object,0,4,,,,Flood | Sprinkler | Drip | Surface
Test.csv,IrriSource,object,0,5,,,,Groundwater | Canal | Rainfed | Tubewell | Well
Test.csv,IrriCount,int64,0,6,1.0,6.0,3.704562178072112,
Test.csv,WaterCov,int64,0,62,20.0,100.0,58.569904341427524,
Test.csv,ExpYield,int64,0,33,5.0,45.0,16.601177336276674,
Test.csv,Season,object,0,2,,,,Rabi | Kharif
Test.csv,geometry,object,0,2718,,,,"POLYGON ((78.54742059207287 18.062307326758276, 78.54761980177136 18.06226045388804, 78.54759783011345 18.062067103298325, 78.5475216616993 18.06180637295765, 78.54731805766923 18.061842992387522, 78.54742059207287 18.062307326758276)) | POLYGON ((78.54812514990353 18.06739449795583, 78.54855286484441 18.06816204120591, 78.54867297657438 18.06811663311287, 78.54844007700041 18.067514609685805, 78.54837855635823 18.067291963552194, 78.54812514990353 18.06739449795583)) | POLYGON ((78.56002792938853 18.079607077817514, 78.56036849008632 18.07955214867271, 78.56033992693102 18.0794422903831, 78.56030989899853 18.079359530471592, 78.5599825212955 18.07939688229006, 78.56002792938853 18.079607077817514)) | POLYGON ((78.56216943364733 18.081207346902854, 78.56240965710728 18.081207346902854, 78.56236864334582 18.081063798737762, 78.5622338838439 18.081071855012336, 78.56215771542978 18.081063798737762, 78.56216943364733 18.081207346902854)) | POLYGON ((78.56844746870425 18.084730868444957, 78.56875433952656 18.084739657108127, 78.56874042414321 18.0846627563054, 78.56873895936602 18.0846063623834, 78.5684328209323 18.084626869264127, 78.56843941242968 18.084672277357168, 78.56844746870425 18.084730868444957)) | POLYGON ((78.56976503579104 18.092038641869838, 78.56986390825169 18.09200055766277, 78.56982728882181 18.0919361074662, 78.56978920461475 18.09188264309859, 78.56975038801909 18.09181526334763, 78.56970864186904 18.091736897767706, 78.56960757224259 18.091783038249343, 78.56970790948044 18.09193903702059, 78.56972475441817 18.09197052973028, 78.56976503579104 18.092038641869838)) | POLYGON ((78.56315962303111 18.103808126630085, 78.5633566355638 18.10375905659406, 78.5633061007506 18.103522495077097, 78.56328046714968 18.103392862295358, 78.56307173639942 18.103436073222607, 78.56312007404685 18.103663846076394, 78.56315962303111 18.103808126630085)) | POLYGON ((78.54877551097815 18.1105402426174, 78.54894981946433 18.110806832066856, 78.5491548882716 18.110727734098337, 78.54913731094527 18.11066181912457, 78.54903917087321 18.110527059622648, 78.54897325589945 18.110415736555844, 78.54877551097815 18.1105402426174)) | POLYGON ((78.52408669135974 18.11583834173101, 78.52425953506872 18.11614008583314, 78.52462719414461 18.11600532633122, 78.52460082815512 18.11592329880831, 78.52449975852868 18.115699187897505, 78.52443091400052 18.115724089109815, 78.5243225204881 18.115765102871272, 78.52408669135974 18.11583834173101)) | POLYGON ((77.97516583193848 18.06340005054565, 77.97523321168944 18.063493796286114, 77.97528887322285 18.06361683757048, 77.97537675985454 18.06382483593214, 77.9755290966828 18.063739878854843, 77.97557596955303 18.063640274005596, 77.97558768777058 18.06352309183001, 77.9756140537601 18.06343813475271, 77.9754148440616 18.063244784163, 77.97516583193848 18.06340005054565)) | POLYGON ((78.04430990703071 18.009371011326696, 78.04488409969107 18.009259688259892, 78.04482990293486 18.00917619595979, 78.0448181847173 18.009120534426387, 78.04445491997299 18.009182055068568, 78.04427768193243 18.00922306883002, 78.04430990703071 18.009371011326696)) | POLYGON ((78.51519915573036 17.815374454869684, 78.51535002778142 17.815323187667865, 78.51528557758486 17.815049274332434, 78.51521819783389 17.814888148841007, 78.51506439622844 17.814945275151604, 78.51515228286013 17.815220653264227, 78.51519915573036 17.815374454869684)) | POLYGON ((78.5123985017339 17.818126771218726, 78.51267241506933 17.817997870825582, 78.51256402155691 17.81778694290953, 78.51252154301827 17.817628746972492, 78.51238824829353 17.817669760733946, 78.51231940376539 17.81774153481649, 78.51234869930929 17.817968575281686, 78.5123985017339 17.818126771218726)) | POLYGON ((78.52960523944127 17.852471402105305, 78.52977368881868 17.85242159968068, 78.52998754628912 17.852442106561412, 78.53006664425763 17.8524172053491, 78.53001391227862 17.85224289686292, 78.52998754628912 17.852171122780373, 78.52955250746226 17.85221067176463, 78.52958180300615 17.85229855839632, 78.52960523944127 17.852471402105305)) | POLYGON ((78.52938259330769 17.85744139112727, 78.52979419569942 17.857262688309504, 78.52975757626955 17.857104492372464, 78.52951442325521 17.857171872123427, 78.5292331860338 17.857248040537556, 78.52938259330769 17.85744139112727))"
